CNT,gender,immigrant_status,belonging,math_anxiety,parent_edu,parent_occ,ict_resources,ses,math_score,ses_quartile,country
PSE,Male,1.0,-0.6065,,8.0,56.03,-0.6552,-0.0327,519.0183,Q2,Palestine
PSE,Male,1.0,0.1254,,6.0,17.0,-0.8256,-1.4456,371.6937,Q1 (Lowest),Palestine
PSE,Female,1.0,-0.7635,1.0161,5.0,33.76,-2.7125,-1.8459,435.6593999999999,Q1 (Lowest),Palestine
PSE,Female,1.0,-1.2292,1.1287,5.0,17.0,-0.925,-1.716,351.79929999999996,Q1 (Lowest),Palestine
PSE,Female,1.0,-0.3261,0.3025,5.0,33.76,-1.8069,-1.6069,403.7351,Q1 (Lowest),Palestine
PSE,Female,1.0,-0.4839,-0.5191,9.0,76.49,-1.43,-0.0781,346.1178,Q2,Palestine
PSE,Male,1.0,0.1742,-0.0394,7.0,17.0,-0.9331,-0.9944,352.6778,Q2,Palestine
PSE,Male,1.0,-1.7703,-0.755,10.0,68.7,-0.3121,0.4857,266.8464,Q3,Palestine
PSE,Female,1.0,-0.4839,0.1748,7.0,17.0,-0.4747,-1.2604,367.7059,Q1 (Lowest),Palestine
PSE,Female,1.0,0.1689,-0.3794,3.0,51.56,-2.7271,-1.8205,362.5329,Q1 (Lowest),Palestine
PSE,Female,1.0,0.8651,-1.6625,8.0,85.13,-1.7685,-0.068,310.36890000000005,Q2,Palestine
PSE,Female,1.0,-0.6971,-0.5191,5.0,28.48,-0.4958,-1.2714,437.6405,Q1 (Lowest),Palestine
PSE,Female,1.0,0.0057,0.602,4.0,25.23,-1.1064,-1.4767,315.4924,Q1 (Lowest),Palestine
PSE,Male,1.0,0.5159,0.4231,10.0,,-0.6916,-0.2351,421.71359999999993,Q2,Palestine
PSE,Male,1.0,-0.1871,0.602,9.0,,1.306,0.4387,352.99709999999993,Q3,Palestine
PSE,Female,1.0,-0.3128,0.3025,6.0,26.8,-0.9388,-1.5251,398.8526,Q1 (Lowest),Palestine
PSE,Male,1.0,0.5453,0.6647,7.0,17.0,-1.4483,-1.3549,350.924,Q1 (Lowest),Palestine
